S.No.,District Name,As per 2011 census,Estimated Population in 2023,2019
1,Adilabad,708972,768667,748769
2,Bhadradri Kothagudem,1069261,1159293,1129283
3,Hyderabad,3943323,4275351,4164675
4,Jagitial,985417,1068389,1040732
5,Jangaon,566376,614065,598169
6,Jayashankar Bhupalpally,416763,451854,440157
7,Jogulamba Gadwal,609990,661351,644231
8,Kamareddy,972625,1054520,1027222
9,Karimnagar,1005711,1090392,1062165
10,Khammam,1401639,1519657,1480318
11,Komaram Bheem,515812,559243,544766
12,Mahabubabad,774549,839766,818027
13,Mahabubnagar,919903,997359,971541
14,Mancherial,807037,874990,852339
15,Medak,767428,832045,810506
16,Medchal–Malkajgiri,2440073,2645527,2577043
17,Mulugu,257744,279446,272212
18,Nagarkurnool,893308,968525,943453
19,Nalgonda,1618416,1754687,1709264
20,Narayanpet,566874,614605,598695
21,Nirmal,709418,769151,749240
22,Nizamabad,1571022,1703302,1659209
23,Peddapalli,795332,862299,839977
24,Rajanna Sircilla,552037,598519,583025
25,Ranga Reddy,2446265,2652241,2583583
26,Sangareddy,1527628,1656254,1613379
27,Siddipet,1012065,1097281,1068876
28,Suryapet,1099560,1192143,1161282
29,Vikarabad,927140,1005205,979184
30,Wanaparthy,577758,626405,610190
31,Warangal Rural,718537,779038,758871
32,Warangal Urban,1080858,1171866,1141530
33,Yadadri Bhuvanagiri,739448,801710,780956
